title,videoIDS,video_description,publishedDate
Encoding and decoding of Messages,7FMCrAJSevs,"Mr. Mahesh Ashok Mahant
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-09-06T09:07:14Z
Issues in designing distributed operating system,xjGZRwEt52g,"Mr. Mahesh Ashok Mahant
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-09-06T09:02:35Z
Process Migration,qrHP8zymnuM,"Mr. Mahesh Ashok Mahant
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-09-06T08:52:48Z
Message Passing approach in distributed systems,9xO2ws9uNcE,"Mr. Mahesh Ashok Mahant
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-09-06T08:45:18Z
Models of Distributed Systems,YqnaF4AmLyc,"Mr. Mahesh Ashok Mahant
Assistant Professor
Department of Computer Science and Engineering
Walchand Institute of Technology, Solapur",2019-09-06T08:38:23Z
Fractal lines and surfaces,CSntlUlWrAk,"Mr. D. P. Pandit,
Assistant Professor,
Walchand Institute of Technology, Solapur",2019-09-04T12:09:31Z
Segmented Display File and Display File Compilation,ukRa9xWfqXA,"Mr. D. P. Pandit,
Assistant Professor,
Walchand Institute of Technology, Solapur",2019-09-04T12:05:33Z
Window to Viewport transformation,1PHzhqW7Ofg,"Mr. D. P. Pandit,
Assistant Professor,
Walchand Institute of Technology, Solapur",2019-09-04T12:00:19Z
Midpoint Subdivision Algorithm,lBdMeVvZ6Gc,"Mr. D. P. Pandit,
Assistant Professor,
Walchand Institute of Technology, Solapur",2019-09-04T11:56:04Z
Sutherland Cohen Line Clipping Algorithm,Bt4n0XY6QQ8,"Mr. D. P. Pandit,
Assistant Professor,
Walchand Institute of Technology, Solapur",2019-09-04T11:50:12Z
Asynchronous counter,ZZI98o-UW7Y,"Mr Sunil S. Shakhapure
Assistant Professor
Computer Science and Engineering Department 
Walchand Institute of Technology, Solapur",2019-09-04T07:06:53Z
D T Flip Flop,LXWrawJggJ4,"Mr Sunil S. Shakhapure
Assistant Professor
Computer Science and Engineering Department 
Walchand Institute of Technology, Solapur",2019-09-04T07:03:17Z
JK Flip Flip,8JYFVfFfhbQ,"Mr Sunil S. Shakhapure
Assistant Professor
Computer Science and Engineering Department 
Walchand Institute of Technology, Solapur",2019-09-04T06:58:48Z
SR flip flop,F4XZdkQi9LQ,"Mr Sunil S. Shakhapure
Assistant Professor
Computer Science and Engineering Department 
Walchand Institute of Technology, Solapur",2019-09-04T06:48:22Z
Polygon Filling,aQ79buT39-s,"Mr. Sandesh S Pare
Assistant Professor
Department of Computer Sci. & Engg.,
Walchand Institute of Technology, Solapur.",2019-09-04T06:16:46Z
Run Length Encoding,n4R600cQfr0,"Mr. Sandesh S Pare
Assistant Professor
Department of Computer Sci. & Engg.,
Walchand Institute of Technology, Solapur.",2019-09-04T06:14:07Z
Bresenham's Circle Generation Algorithm,j0IbA9i17R4,"Mr. Sandesh S Pare
Assistant Professor,
Dept of Computer Sci. & Engg.,
Walchand Institute of Technology, Solapur.",2019-09-04T06:11:18Z
Bresenham's Line Drawing Algorithm,GvZ7g2tsY2I,"Mr. Sandesh S Pare
Assistant Professor,
Dept of Computer Sci. & Engg.,
Walchand Institute of Technology, Solapur.",2019-09-04T06:07:37Z
Digital Differential Analyzer,oJSZEmi2vO8,"Mr. Sandesh S Pare
Assistant Professor
Walchand Institute of Technology, Solapur",2019-09-04T06:04:06Z
Green sand Molding,iiM4oExpUSA,"Mr.S.R.Paryani
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology
Solapur",2019-09-04T05:43:23Z
Thermodynamics-V,art8aRry8D8,"Mr. V. D. Sathe
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2019-09-03T12:25:43Z
Thermodynamics-IV,f4xh-x52Fdw,"Mr. V. D. Sathe
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2019-09-03T12:20:27Z
Thermodynamics-II,XeRg5xI6x9I,"Mr. V. D. Sathe
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2019-09-03T12:15:28Z
Problem on ackermann steering mechanism,NrG7SMoxKeU,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2019-09-03T12:05:52Z
Inroduction to Automobile Steering System,X-X9eLwz7lE,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2019-09-03T12:03:55Z
Automobile Steering System layout,-qhvChhLYLk,"Mr. N. R. Tambake
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur",2019-09-03T12:00:09Z
Simulation of Full Wave Rectifier using LTSpice Software,-PhppGs6J7k,"Mr. Kale Neeraj Vijay
Assistant Professor, 
Department of Electronics and Telecommunication Engineering.
Walchand Institute of Technology,Solapur",2019-09-03T08:47:57Z
Introduction to LTSpice Software,MsPNvCW8LzQ,"Mr. Kale Neeraj Vijay
Assistant Professor, 
Department of Electronics and Telecommunication Engineering.
Walchand Institute of Technology,Solapur",2019-09-03T08:47:33Z
DC Sweep analysis of BJT Common Emitter Configuration in LTSPICE.,Ow4s2w3m5tE,"Mr. Kale Neeraj Vijay
Assistant Professor, 
Department of Electronics and Telecommunication Engineering.
Walchand Institute of Technology,Solapur",2019-09-03T08:48:09Z
AC Analysis Using LT Spice Software.,nUN3yQntV4s,"Mr. Kale Neeraj Vijay
Assistant Professor, 
Department of Electronics and Telecommunication Engineering.
Walchand Institute of Technology,Solapur",2019-09-03T08:48:21Z
PCB Design using Eagle CAD Software,vS_Ag8rt6SY,"Mr. Kale Neeraj Vijay
Assistant Professor, 
Department of Electronics and Telecommunication Engineering.
Walchand Institute of Technology,Solapur",2019-09-03T08:48:33Z
Programming of Interfacing With Microcontroller 89C51 (Cont.),Kq4urNuJ7bw,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T11:26:15Z
Interfacing With Microcontroller 89C51,QtgukjjYr1s,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T11:19:12Z
Programming of Interfacing With Microcontroller 89C51,uO-hbN3mG4Q,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T11:19:47Z
Printed Circuit Board   Fabrication,NtsNibVzSL0,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T11:14:12Z
Fundamentals of Printed Circuit Board Design,KjiRwE0BEwM,"Mr  G. P. Jain
Assistant Professor
Department of Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T11:08:26Z
Router and Gateway,yAtLGkCXGm0,"Mr. Y. S. Phand
Assistant Professor
Electronics & Communication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T10:56:03Z
Bridge,ahagIyXiVEY,"Mr. Y. S. Phand
Assistant Professor
Electronics & Communication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T10:52:19Z
Repeater and Hub,Fb4dwZwtcg0,"Mr. Y. S. Phand
Assistant Professor
Electronics & Communication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T10:51:00Z
Modem,7uXmDntmch8,"Mr. Y. S. Phand
Assistant Professor
Electronics & Communication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T10:48:29Z
RS-232,Ne4TtxYhIB0,"Mr. Y. S. Phand
Assistant Professor
Electronics & Communication Engineering
Walchand Institute of Technology, Solapur",2019-08-31T10:46:17Z
Differential Gear Box (Gear Train),Iv_5xCRF6gY,"Mr.S.S.Rathod 
Assistant Professor.
Mechanical Engineering Department. 
Walchand Institute of Technology, Solapur.",2019-08-31T06:01:40Z
Epicyclic Gear Train,Nh0omcE460Y,"Mr.S.S.Rathod 
Assistant Professor.
Mechanical Engineering Department. 
Walchand Institute of Technology, Solapur.",2019-08-31T05:52:26Z
Frequency Detectors - II,HCLcIqKORF0,"Mr. Chandane Elia Ratnaraj
Assistant Professor 
Department of Electronics
Walchand Institute of Technology
Solapur",2019-08-30T11:59:15Z
Frequency Detectors - I,dm_gTknGiNY,"Mr. Chandane Elia Ratnaraj
Assistant Professor 
Department of Electronics
Walchand Institute of Technology
Solapur",2019-08-30T11:55:42Z
Frequency Generation - II,ikGXKEYhnhY,"Mr. Chandane Elia Ratnaraj
Assistant Professor 
Department of Electronics
Walchand Institute of Technology
Solapur",2019-08-30T11:52:40Z
Frequency Generation - I,q-AmNPlnbvM,"Mr. Chandane Elia Ratnaraj
Assistant Professor 
Department of Electronics
Walchand Institute of Technology
Solapur",2019-08-30T11:48:54Z
Introduction to Frequency Modulation,M1whDASYKDs,"Mr. Chandane Elia Ratnaraj
Assistant Professor 
Department of Electronics
Walchand Institute of Technology
Solapur",2019-08-30T11:45:34Z
Shear force and  Bending Moment  Part- VIII,UL2_jb6dKRc,"Mr. A.N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-08-29T07:16:16Z
Shear Force  and Bending Moment Part - VII,dQNYQBdtWkI,"Mr. A.N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-08-29T07:10:04Z
Shear force and Bending moment  Part-VI,lpHjOj5-Lto,"Mr. A.N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-08-29T07:05:20Z
Shear Force and  Bending Moment  Part V,fbiounnRS6k,"Mr. A.N. Surde
Assistant Professor
Mechanical Engineering Department
Walchand Institute of Technology, Solapur",2019-08-29T06:53:35Z
Hardening and Tempering Part  2,nyVtcvwnJHA,"Mr.P.P.Mitragotri
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:49:05Z
Hardening and tempering,i7-TMQsj-Yw,"Mr.P.P.Mitragotri
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:43:32Z
ANNEALING & NORMALIZING,BcG-FRjQY_I,"Mr.P.P.Mitragotri
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:38:06Z
Types of Annealing,kBPEaFoMwwg,"Mr.P.P.Mitragotri
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:31:15Z
Purposes of Annealing,gQWHU0cEJ3E,"Mr. P. P. Mitragotri
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:24:39Z
Getting funds for startup,uqsnYUUcnr8,"Dr.S.R.Dulange
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:15:55Z
Writing a Business Plan III - Cost and Cost drivers,eq1UshOyxD4,"Dr.S.R.Dulange
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:11:54Z
Writing a Business Plan - II,onmRjIewsuE,"Dr.S.R.Dulange
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:07:13Z
Writing a Business Plan - I,3F7fXdwNenQ,"Dr.S.R.Dulange
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T05:03:42Z
Writing a Business Plan,5kZTNs6Yw5Y,"Dr.S.R.Dulange
Associate Professor,
Mechanical Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-29T04:58:52Z
Condition of Reciprocity in Two Port Network Parameter,hhNk0jGNZHY,"Mr. V.V.Anagire
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-28T12:26:40Z
Interconnection of Two Port Network,xQcch8tlgzs,"Mr. V.V.Anagire
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-28T12:23:57Z
Inter-Relationship Between Parameters of Two Port Network-II,g0v62uOu0jc,"Mr. V.V.Anagire
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-28T12:16:54Z
Inter-Relationship Between Parameters of Two Port Network,EuZUMkfA16c,"Mr. V.V.Anagire
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-28T12:12:26Z
Introduction to Passive Filters,WOr_KMEEVdY,"Mr. V.V.Anagire
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-28T12:10:37Z
Epicyclic Gear Train,hGYwt3K8I6w,"Mr.S.S.Rathod 
Assistant Professor.
Mechanical Engineering Department.
Walchand Institute of Technology, Solapur.",2019-08-28T11:48:34Z
Reverted Gear Train,bZ3myerXZWQ,"Mr.S.S.Rathod 
Assistant Professor.
Mechanical Engineering Department. 
Walchand Institute of Technology, Solapur.",2019-08-28T11:42:36Z
Design of Welded joints (Problems) -IV,SI0CqinT2jw,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2019-08-28T11:27:54Z
Design of Welded joints-III,X38iLNvbjiI,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2019-08-28T11:23:52Z
Design of Welded joints-II,kjNDeyEBKzk,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2019-08-28T11:18:18Z
Design of Welded joints-I,EpuF9p11CUc,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2019-08-28T11:13:55Z
Welded joints,YTInKZ_K8NY,"Mr. S. B. Naik 
Assistant Professor 
Mechanical Engineering Department 
Walchand Institute of Technology.",2019-08-28T11:08:33Z
1. Inventory Control - Basics of Model - I,nmF7ZjR999M,"Dr.K.G.Valase
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology Solapur.",2019-08-28T09:16:56Z
5. Production Consumption Inventory Model - Numerical Aspect,WrhxVOU0Ysw,"Dr.K.G.Valase
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology Solapur.",2019-08-28T09:48:04Z
4. Production Consumption Inventory Model Part II,TEitglKlWic,"Dr.K.G.Valase
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology Solapur.",2019-08-28T09:43:14Z
3. Production Consumption Inventory Model Part I,ceJ5-jwcCcM,"Dr.K.G.Valase
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology Solapur.",2019-08-28T09:36:21Z
2. Inventory Control - Basics of Model -II,L81xqwYgwAo,"Dr.K.G.Valase
Associate Professor
Mechanical Engineering Department
Walchand Institute of Technology Solapur.",2019-08-28T09:30:49Z
Earthquake resistant design philosophy-I,bpQWEXfdIXc,"Prof. C.G. Konapure, Assistant Professor, Civil Engg. Deptt., 
Walchand Institute of Technology, Solapur",2019-08-28T06:34:39Z
Earthquake resistant design philosophy-II,lFMbdXCIBL0,"Prof. C.G. Konapure, Assistant Professor, Civil Engg. Deptt., 
Walchand Institute of Technology, Solapur",2019-08-28T06:28:43Z
Damped Forced Vibration,mrP06Zx71kY,"Prof. C.G. Konapure, Assistant Professor, Civil Engg. Deptt., 
Walchand Institute of Technology, Solapur",2019-08-28T06:24:16Z
Undamped forced Vibration,9xiNBK-uo-Q,"Prof. C.G. Konapure, Assistant Professor, Civil Engg. Deptt., 
Walchand Institute of Technology, Solapur",2019-08-28T06:13:57Z
Fourier Series Part-VII,jVWjxoVGD7c,"Mr.M S Basargaon
Assistant Professor 
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur.",2019-08-26T11:29:12Z
Fourier Series Part-VI,OJzdDvRef0g,"Mr.M S Basargaon
Assistant Professor 
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur.",2019-08-26T11:27:13Z
Fourier Series Part-V,6TE8SaJTvTg,"Mr.M S Basargaon
Assistant Professor 
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur.",2019-08-26T11:26:20Z
Fourier Series Part - IV,-DMHzoRHRzQ,"Mr.M S Basargaon
Assistant Professor 
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur.",2019-08-26T11:25:18Z
Influence Line Diagram for Reactions at Support,ikRKSk6bzlI,"Prof. Prashant  V. Dhanshetti
Assistant Professor
Civil Engineering Department
Walchand Institute of Technology, Solapur",2019-08-26T11:21:52Z
Fourier Series Part III,cV0YAqccGik,"Mr.M S Basargaon
Assistant Professor 
Department of Humanities and Sciences 
Walchand Institute of Technology, Solapur.",2019-08-26T11:20:29Z
"Introduction to Linux Shell , Kernel and Architecture",7B3c0iIgtkQ,"Mr. R. R. Konapure
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T08:36:48Z
Files & Directories in Linux,E_c-1UMUbYQ,"Mr. R. R. Konapure
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T08:37:16Z
Redirection & Pipes in Linux,UGNW_Q7Z_vY,"Mr. R. R. Konapure
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T08:37:28Z
Regular Expression,cKd29HRIZcM,"Mr. R. R. Konapure
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T08:37:39Z
Communication in Linux,qb-qCvATHM4,"Mr. R. R. Konapure
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T08:36:27Z
Antenna Types,GubyxqAIkNw,"Mrs. Piyusha S. Shetgar
AsSistant Professor
Walchand Institute of Technology, Solapur",2019-08-26T07:27:25Z
Antenna Parameters- Part II,H06jFkyG_ek,"Mrs. Piyusha Shetgar
Assistant Professor
Walchand Institute of Technology, Solapur",2019-08-26T07:09:17Z
Antenna Parameters- Part I,6KbwCniIX0g,"Mrs. Piyusha Shetgar
Assistant Professor
Walchand Institute of Technology, Solapur",2019-08-26T07:08:45Z
Antenna field zones,yA1Pkv49vxE,"Mrs. Piyusha Shetgar
Assistant Professor
Walchand Institute of Technology, Solapur",2019-08-26T07:08:21Z
Basics of Antenna,CAyJgbhluAg,"Mrs. Piyusha Shetgar
Assistant Professor
Walchand Institute of Technology, Solapur",2019-08-26T07:07:40Z
Introduction to arrays in shell scripting,1u9RWB-A7ZY,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T06:47:20Z
Introduction to shell script parameters,EyrbuXp0kwA,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T06:47:12Z
Introduction to shell scripting variables and file sourcing,ZRnC0ySB6dE,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T06:47:05Z
An introduction to shell scripting,wlPmNdCIy-U,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T06:46:58Z
Introduction to loops in shell scripting,zttx-XguR70,"Mr.P.D.R.Patnaik
Assistant Professor
Electronics & Telecommunication Engineering
Walchand Institute of Technology, Solapur",2019-08-26T06:47:27Z
Numerical On Settling of Discrete Particles in Sedimentation Tank,bf8PfCMxZus,"Mr. Mayur A. Ubale
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-24T10:39:12Z
Settling of Discrete Particles in Sedimentation Tank,0vFuE92cAho,"Mr. Mayur A. Ubale
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-24T10:34:54Z
Mix Design of Concrete,eJBuY6HLVKU,"Mr. S. K. Kulkarni,
Assistant Professor,
Civil Engg. Deptt.,
Walchand Institute of Technology,
Solapur",2019-08-24T10:27:02Z
Workability of Concrete,8mafZfYe9ng,"Mr. S. K. Kulkarni,
Assistant Professor,
Civil Engg. Deptt.,
Walchand Institute of Technology,
Solapur",2019-08-24T10:22:42Z
Global Positioning System (GPS) Coordinates,b5YTX_-QSHY,"Mr. Shashikant B. Gosavi,
Assistant Professor,
Civil Engg. Deptt.,
Walchand Institute of Technology,
Solapur",2019-08-24T09:58:10Z
Adjustment of Theodolite Traverse,MpZBhAKRqks,"Mr. S. B. Gosavi,
Assistant Professor,
Civil Engg. Deptt.,
Walchand Institute of Technology,
Solapur",2019-08-24T09:50:00Z
PIC Parallel Slave Port,rQQInkYxBaw,"Mr. Ravindra  N. Chavan
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-08-24T09:39:06Z
PIC on chip ADC,nEs8MXbaBcI,"Mr. Ravindra  N. Chavan
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-08-24T09:34:29Z
PIC on chip PWM,pwlZibNYyMY,"Mr.  Ravindra  N. Chavan
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-08-24T09:29:43Z
PIC Timer1,gUT-0IAoh2I,"Mr. Ravindra N. Chavan
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-08-24T09:25:08Z
PIC Timer0,7UIElJuhfQc,"Mr. Ravindra N. Chavan
Assistant Professor
Department of Electronics Engineering
Walchand Institute of Technology, Solapur",2019-08-24T09:20:09Z
Pipeline processor,PM0L-VL2IqI,"Mr. Vishwanath D. Chavan,
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur",2019-08-24T09:09:54Z
DMA Controller,DsdI8yH4nXk,"Mr. Vishwanath D. Chavan,
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur",2019-08-24T09:03:34Z
IC 8259 Programmable Interrupt Controller  PIC,jtz_QDxExUk,"Mr. Vishwanath D. Chavan,        
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur",2019-08-24T08:55:36Z
IC 8255 Programmable Peripheral Interface,C1KWH5mDFvA,"Mr. Vishwanath D. Chavan, 
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur",2019-08-24T08:48:24Z
Error Correction in Semiconductor Memory,YzTe_2Pw65c,"Vishwanath D.Chavan
Assistant Professor,
Computer Science and Engineering Department,
Walchand Institute of Technology,Solapur",2019-08-24T08:31:46Z
Tensile Test on Steel,1siy6dYgDps,"Mr.S.K.Kulkarni,
Assistant Professor,
Civil Engg. Deptt,
Walchand Institute of Technology,
Solapur",2019-08-23T10:05:29Z
Design of Knuckle Joint,EIxvsVVr0Tk,"Dr.B.B.Deshmukh
Professor
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur.",2019-08-22T07:17:36Z
Design of Cotter joint,PlE03eHsGc4,"Dr.B.B.Deshmukh
Professor
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur.",2019-08-22T07:12:19Z
Design of Bell Crank Lever,yfuYH8LM5cI,"Dr.B.B.Deshmukh
Professor
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur.",2019-08-22T07:07:23Z
Design of Lever Part 2,vMSCAdMG1Ro,"Dr.B.B.Deshmukh
Professor
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur.",2019-08-22T07:03:14Z
Design of Lever Part 1,OTnNaxP17Mw,"Dr.B.B.Deshmukh
Professor
Mech.Engg.Dept.
Walchand Institute of Technology, Solapur.",2019-08-22T06:59:12Z
Measurement Of Discharge Through Venturimeter,QMkYLQyr570,"Deshmukh Sachin
Assistant Professor
Civil Engineering Department
Walchand Institute Of Technology Solapur",2019-08-21T11:41:08Z
Study Of Bernoulli's Theorem,diFN_9wUjlI,"Deshmukh Sachin
Assistant Professor
Civil Engineering Department
Walchand Institute Of Technology Solapur",2019-08-21T11:33:23Z
Meta centre and Metacentric height,DSneQivB5XE,"Deshmukh Sachin
Assistant Professor
Civil Engineering Department
Walchand Institute Of Technology Solapur",2019-08-21T11:28:04Z
Measurement of pressure by using U-tube differential manometer,zVdoDdBcewo,"Deshmukh Sachin
Assistant Professor
Civil Engineering Department
Walchand Institute Of Technology Solapur",2019-08-21T11:22:54Z
Pascal's law,TJIlKvDB9-g,"Deshmukh Sachin
Assistant Professor
Civil Engineering Department
Walchand Institute Of Technology Solapur",2019-08-21T11:13:43Z
Hartley Oscillator,WWvXeLPPkug,"Mrs.V.S.Kulkarni,
Assistant Professor,
WIT,Solapur",2019-08-20T09:53:38Z
Colpitt's Oscillator,XjqerXZ_ze4,"Mrs.V.S.Kulkarni,
Assistant Professor,
WIT,Solapur",2019-08-20T09:49:08Z
Pressure die Casting,5e7VKcAYEfc,"Mr.S.R.Paryani,
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology,
Solapur",2019-08-19T07:14:14Z
Gravity Die Casting,DLeJMfltwMY,"Mr.S.R.Paryani,
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology,
Solapur",2019-08-19T07:09:49Z
Shell Moulding in Manufacturing Process,7gwt9jAHBxo,"Mr.S.R.Paryani,
Assistant Professor,
Mechanical Engineering Department,
Walchand Institute of Technology,
Solapur",2019-08-19T07:01:59Z
Reservoir Planning: For ‘Runoff River’ Type Hydropower Plants,Jzo1MuHt0QI,"Prof. Dr. Satishkumar S. Kashid
Walchand Institute of Technology, Solapur",2019-08-16T03:58:24Z
Event Ordering in Distributed Computing,Ll--Z6ULjZ4,"Mr. Bhushan Shaharkar
Asst.Professor
Department of IT 
WIT Solapur",2019-08-14T11:21:31Z
TCP/IP Reference Model,x_aZbwQPFuc,"Mr. S. M. Metagar,       
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-14T09:30:09Z
OSI Reference Model,dH1iyDsw3Vs,"Mr. S. M. Metagar,       
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-14T09:29:42Z
Network Software,hpNH6jKT_Xw,"Mr. S. M. Metagar,       
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-14T09:29:15Z
Network Hardware,0LFNN9DgUR8,"Mr. S. M. Metagar,       
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-14T09:28:52Z
Uses of Computer Networks,kP4rMrAq_Yo,"Mr. S. M. Metagar,       
Assistant Professor, 
Computer Science and Engineering Department,
Walchand Institute of Technology, Solapur.",2019-08-14T09:28:32Z
Network Updating for Project Management by Prof  Thalange S B,vYmAYmNOuI8,"Prof. Thalange Satish Basavaraj
Assistant Professor,
Civil Engineering Department, 
Walchand Institute of Technology, Solapur",2019-08-13T10:56:28Z
One Bit Sliding Window Protocol,ux3s683w7A0,"Ms. Anjali R. Deshpande
Assistant Professor
IT Department
WIT, Solapur",2019-08-13T09:02:10Z
Go Back-N and Selective Repeat Sliding Window Protocols,bi_GVYM2EYQ,"Ms. Anjali R. Deshpande
Assistant Professor
IT Department
WIT, Solapur",2019-08-13T09:04:00Z
Sliding Window Protocols,eR47PENhPAQ,"Ms. Anjali R. Deshpande
Assistant Professor
IT Department
WIT, Solapur",2019-08-13T08:58:54Z
Data Link Layer: Framing,xh1LWyZf9uo,"Ms. Anjali R. Deshpande
Assistant Professor
IT Department
WIT, Solapur",2019-08-13T08:57:05Z
Data Link Layer Design Issues,Rcm-bh0oGd4,"Ms. Anjali R. Deshpande
Assistant Professor
IT Department
WIT, Solapur",2019-08-13T08:56:26Z
File Accessing Models and File Sharing Semantics in DFS,lR8XzFWdrQ8,"Mr. Bhushan Shaharkar
Asst.Professor
Department of IT 
WIT Solapur",2019-08-10T12:07:07Z
